id;transaction_id;login;amount;payment_type;payment_date;description;status;created_by;created_date;last_modified_by;last_modified_date;payment_id
1;30275ab9-b967-4100-a238-091237680504;bashfully glum inexperienced;6809.87;QR;2024-12-02T15:15:10;so brightly furthermore;FAILED;awX;2024-12-02T09:01:25;apud anenst;2024-12-02T01:27:44;"J"
2;240d9bf6-8a40-4da7-9eb3-54eb68cf80c0;while woot;31240.04;BILL;2024-12-02T01:53:24;self-assured sunny perspire;FAILED;especially;2024-12-02T00:34:50;infatuated oxidize or;2024-12-02T09:41:45;"3IF3U"
3;bf9068ca-0ead-4ef6-bec8-554022a1fbc4;ha;32489.34;BILL;2024-12-02T14:09:30;nectarine;FAILED;fooey about during;2024-12-02T07:21:21;jungle against;2024-12-02T08:14:54;"VF7-"
4;e6f27e21-6864-4879-9b17-8cb86888c981;along hawk;5403.49;QR;2024-12-02T03:59:29;courageously bah;PENDING;carnival;2024-12-02T10:20:35;considering including;2024-12-02T18:13:14;"4HK"
5;2ceb28ed-be26-4c09-afe0-2294878ad4a3;duh;17737.94;CARD;2024-12-02T17:27:03;expert;CANCELLED;lumbering;2024-12-02T07:36:37;because;2024-12-02T00:16:55;"1"
6;6cf86ed6-d82b-4c7f-a301-16e7e6cddfd5;whoever;29327.15;BILL;2024-12-02T04:29:48;blah;PENDING;soggy;2024-12-02T00:13:15;gad optimal;2024-12-01T20:40:39;"XINCW6"
7;09ea1829-3e80-4215-af74-4c619d851dd7;intrepid concerning behind;29719.54;BILL;2024-12-02T14:53:41;er ring sadly;CANCELLED;because toward before;2024-12-02T11:47:29;however marten;2024-12-02T05:55:13;"EKZT"
8;cfeda292-0678-4d49-908a-ba94833b50aa;brr never concerning;21099.1;CARD;2024-12-02T00:14:01;er psst aha;FAILED;yahoo slake concerning;2024-12-02T07:55:52;yuck;2024-12-02T13:50:27;"QBTH"
9;bab85fbf-839a-4421-a196-ad765aa14539;following;8759.75;BILL;2024-12-02T15:59:04;reference afore;ON_HOLD;where incidentally;2024-12-02T02:01:23;under duh;2024-12-02T02:35:32;"DPR8"
10;546e466c-e229-4ad5-b365-ad10f28836d7;as lest gee;20132.6;QR;2024-12-02T10:58:06;dilate jumbo um;ON_HOLD;inhibit per;2024-12-02T16:09:04;yuck meanwhile;2024-12-01T22:52:14;"NV"
